n_estimators,max_depth,learning_rate,subsample,reg_alpha,gamma,average_roc_auc
300.0,3.0,0.1,0.8,1.0,0.5,0.7444244072862887
300.0,10.0,0.1,0.8,1.0,0.5,0.7368307424206251
300.0,3.0,0.1,0.8,10.0,0.5,0.7324663108962162
30.0,10.0,0.1,0.8,10.0,0.5,0.7306409458867044
300.0,6.0,0.1,0.8,1.0,0.5,0.7301069357024453
30.0,3.0,0.1,0.8,10.0,0.5,0.7290524151034116
30.0,6.0,0.1,0.8,10.0,0.5,0.7266067300864708
300.0,10.0,0.1,0.8,10.0,0.5,0.7250811392414848
30.0,10.0,0.1,0.8,1.0,0.5,0.7240913798649568
300.0,10.0,0.1,1.0,1.0,0.5,0.7235816081557289
30.0,3.0,0.1,0.8,1.0,0.5,0.72295223006468
300.0,6.0,0.1,1.0,10.0,0.5,0.7202621000887299
30.0,3.0,0.1,1.0,10.0,0.5,0.7195185045752922
300.0,6.0,0.1,0.8,10.0,0.5,0.7191509713299684
300.0,3.0,0.1,1.0,10.0,0.5,0.7189431729776504
30.0,10.0,0.1,1.0,1.0,0.5,0.7181794259308273
30.0,6.0,0.1,1.0,10.0,0.5,0.7181723168069962
30.0,10.0,0.1,1.0,10.0,0.5,0.7173473511875373
300.0,10.0,0.1,1.0,10.0,0.5,0.7170822554585241
30.0,3.0,0.1,0.8,10.0,5.0,0.7168643073612752
300.0,3.0,0.1,0.8,1.0,5.0,0.7167461558362999
300.0,3.0,0.1,1.0,1.0,0.5,0.7160017249419883
300.0,10.0,0.1,0.8,1.0,5.0,0.7154552619885219
300.0,6.0,0.1,0.8,1.0,5.0,0.7151754952281969
30.0,6.0,0.1,0.8,10.0,5.0,0.7128671184062316
30.0,10.0,0.1,0.8,10.0,5.0,0.7128671184062316
300.0,6.0,0.1,1.0,1.0,0.5,0.7127288727077559
30.0,6.0,0.1,0.8,1.0,0.5,0.7125910659705516
300.0,3.0,0.1,0.8,10.0,5.0,0.711818761249157
300.0,10.0,0.1,0.8,1.0,10.0,0.7108400940264492
300.0,6.0,0.1,0.8,1.0,10.0,0.7108400940264492
30.0,6.0,0.1,1.0,1.0,0.5,0.7105248494925294
300.0,3.0,0.1,0.8,1.0,10.0,0.7105088364484031
30.0,3.0,0.1,1.0,1.0,0.5,0.7100482106190555
300.0,10.0,0.1,0.8,10.0,5.0,0.7094599152832325
300.0,6.0,0.1,0.8,10.0,5.0,0.7094599152832325
30.0,3.0,0.1,0.8,1.0,5.0,0.7084894775133322
300.0,3.0,0.1,1.0,1.0,5.0,0.703542860819686
30.0,6.0,0.1,0.8,1.0,10.0,0.7033796201624687
30.0,10.0,0.1,0.8,1.0,10.0,0.7033796201624687
30.0,6.0,0.1,0.8,1.0,5.0,0.7030653318393931
30.0,3.0,0.1,1.0,1.0,5.0,0.702762899786647
300.0,6.0,0.1,1.0,10.0,5.0,0.7026048879635404
30.0,6.0,0.1,1.0,10.0,5.0,0.7026048879635404
30.0,10.0,0.1,1.0,10.0,5.0,0.7026048879635404
300.0,10.0,0.1,1.0,10.0,5.0,0.7026048879635404
30.0,6.0,0.1,1.0,1.0,5.0,0.7012635098324667
30.0,10.0,0.1,0.8,1.0,5.0,0.7004876104580825
300.0,6.0,0.1,1.0,1.0,5.0,0.700245121615936
30.0,3.0,0.1,0.8,1.0,10.0,0.6999958549420607
300.0,3.0,0.1,1.0,10.0,5.0,0.6995103158721512
30.0,3.0,0.1,1.0,10.0,5.0,0.6995103158721512
30.0,10.0,0.1,1.0,1.0,5.0,0.6982032461789827
300.0,10.0,0.1,1.0,1.0,5.0,0.697184857962452
30.0,3.0,0.1,1.0,1.0,10.0,0.6953269853261649
300.0,3.0,0.1,1.0,1.0,10.0,0.6945736896576149
300.0,10.0,0.1,1.0,1.0,10.0,0.6847397741287081
300.0,6.0,0.1,1.0,1.0,10.0,0.6847397741287081
30.0,10.0,0.1,1.0,1.0,10.0,0.6847397741287081
30.0,6.0,0.1,1.0,1.0,10.0,0.6847397741287081
300.0,6.0,0.1,0.8,10.0,10.0,0.6736251601629705
300.0,3.0,0.1,0.8,10.0,10.0,0.6736251601629705
300.0,10.0,0.1,0.8,10.0,10.0,0.6736251601629705
30.0,3.0,0.1,0.8,10.0,10.0,0.6725810585482339
30.0,6.0,0.1,0.8,10.0,10.0,0.6725810585482339
30.0,10.0,0.1,0.8,10.0,10.0,0.6725810585482339
30.0,10.0,0.1,1.0,10.0,10.0,0.6614145250263093
300.0,10.0,0.1,1.0,10.0,10.0,0.6614145250263093
30.0,6.0,0.1,1.0,10.0,10.0,0.6614145250263093
300.0,6.0,0.1,1.0,10.0,10.0,0.6614145250263093
30.0,3.0,0.1,1.0,10.0,10.0,0.6587779901863846
300.0,3.0,0.1,1.0,10.0,10.0,0.6587779901863846
300.0,10.0,0.1,0.8,50.0,0.5,0.623014004173218
300.0,6.0,0.1,0.8,50.0,0.5,0.623014004173218
300.0,3.0,0.1,0.8,50.0,0.5,0.6101311923360937
30.0,6.0,0.1,1.0,50.0,0.5,0.5819744296102967
300.0,6.0,0.1,1.0,50.0,0.5,0.5819744296102967
300.0,10.0,0.1,1.0,50.0,0.5,0.5816179233714375
30.0,10.0,0.1,1.0,50.0,0.5,0.5816179233714375
300.0,3.0,0.1,1.0,50.0,0.5,0.5650770765148534
30.0,3.0,0.1,1.0,50.0,0.5,0.5650770765148534
30.0,3.0,0.1,0.8,50.0,0.5,0.5614327500991185
30.0,6.0,0.1,0.8,50.0,0.5,0.5559373940619667
30.0,10.0,0.1,0.8,50.0,0.5,0.5559373940619667
300.0,10.0,0.1,1.0,100.0,0.5,0.5
300.0,10.0,0.1,1.0,50.0,10.0,0.5
300.0,6.0,0.1,0.8,100.0,10.0,0.5
300.0,10.0,0.1,1.0,100.0,5.0,0.5
300.0,6.0,0.1,0.8,50.0,10.0,0.5
300.0,6.0,0.1,0.8,100.0,0.5,0.5
300.0,6.0,0.1,0.8,100.0,5.0,0.5
300.0,6.0,0.1,1.0,50.0,5.0,0.5
300.0,10.0,0.1,1.0,50.0,5.0,0.5
300.0,6.0,0.1,1.0,100.0,10.0,0.5
300.0,6.0,0.1,1.0,100.0,5.0,0.5
300.0,6.0,0.1,1.0,100.0,0.5,0.5
300.0,6.0,0.1,0.8,50.0,5.0,0.5
300.0,10.0,0.1,0.8,100.0,5.0,0.5
300.0,10.0,0.1,0.8,100.0,0.5,0.5
300.0,6.0,0.1,1.0,50.0,10.0,0.5
300.0,10.0,0.1,0.8,50.0,10.0,0.5
300.0,10.0,0.1,0.8,50.0,5.0,0.5
300.0,10.0,0.1,0.8,100.0,10.0,0.5
30.0,3.0,0.1,0.8,100.0,10.0,0.5
300.0,3.0,0.1,1.0,100.0,10.0,0.5
300.0,3.0,0.1,1.0,100.0,5.0,0.5
30.0,3.0,0.1,0.8,100.0,0.5,0.5
30.0,6.0,0.1,1.0,100.0,10.0,0.5
30.0,6.0,0.1,1.0,100.0,5.0,0.5
30.0,6.0,0.1,1.0,100.0,0.5,0.5
30.0,6.0,0.1,1.0,50.0,10.0,0.5
30.0,6.0,0.1,1.0,50.0,5.0,0.5
30.0,6.0,0.1,0.8,100.0,10.0,0.5
30.0,6.0,0.1,0.8,100.0,5.0,0.5
30.0,6.0,0.1,0.8,100.0,0.5,0.5
30.0,6.0,0.1,0.8,50.0,10.0,0.5
30.0,6.0,0.1,0.8,50.0,5.0,0.5
30.0,3.0,0.1,0.8,100.0,5.0,0.5
30.0,3.0,0.1,1.0,100.0,10.0,0.5
30.0,3.0,0.1,1.0,100.0,5.0,0.5
30.0,3.0,0.1,1.0,100.0,0.5,0.5
30.0,3.0,0.1,1.0,50.0,10.0,0.5
30.0,3.0,0.1,1.0,50.0,5.0,0.5
30.0,3.0,0.1,0.8,50.0,10.0,0.5
30.0,10.0,0.1,0.8,50.0,5.0,0.5
30.0,10.0,0.1,0.8,50.0,10.0,0.5
300.0,3.0,0.1,0.8,50.0,5.0,0.5
300.0,3.0,0.1,1.0,100.0,0.5,0.5
300.0,3.0,0.1,1.0,50.0,10.0,0.5
300.0,3.0,0.1,1.0,50.0,5.0,0.5
300.0,3.0,0.1,0.8,100.0,10.0,0.5
300.0,3.0,0.1,0.8,100.0,5.0,0.5
300.0,3.0,0.1,0.8,100.0,0.5,0.5
300.0,3.0,0.1,0.8,50.0,10.0,0.5
30.0,3.0,0.1,0.8,50.0,5.0,0.5
30.0,10.0,0.1,0.8,100.0,0.5,0.5
30.0,10.0,0.1,1.0,100.0,10.0,0.5
30.0,10.0,0.1,1.0,100.0,5.0,0.5
30.0,10.0,0.1,1.0,100.0,0.5,0.5
30.0,10.0,0.1,1.0,50.0,10.0,0.5
30.0,10.0,0.1,1.0,50.0,5.0,0.5
30.0,10.0,0.1,0.8,100.0,10.0,0.5
30.0,10.0,0.1,0.8,100.0,5.0,0.5
300.0,10.0,0.1,1.0,100.0,10.0,0.5
